1 20.0 903.5 474.96
2 20.0 701.49 1282.14
3 20.0 146.45 342.98
4 20.0 663.49 1237.65
5 20.0 894.76 474.31
6 20.0 149.92 350.12
7 20.0 277.23 347.29
8 20.0 335.62 434.1
9 20.0 427.64 789.69
10 20.0 420.18 989.94
11 20.0 381.58 639.5
12 20.0 868.02 1334.15
13 20.0 244.79 329.44
14 20.0 463.27 571.13
15 20.0 674.61 525.34
16 20.0 974.98 567.65
17 20.0 541.4 1105.44
18 20.0 158.43 367.64
19 20.0 305.27 595.18
20 20.0 429.07 391.17
21 20.0 917.49 467.27
22 20.0 493.53 660.69
23 20.0 605.61 487.24
24 20.0 701.45 602.14
25 20.0 833.35 377.27
26 20.0 166.23 369.71
27 20.0 618.1 800.77
28 20.0 150.76 351.84
29 20.0 885.08 480.69
0 21.0 597.37 803.69
1 21.0 910.9 472.67
2 21.0 696.32 1276.07
3 21.0 145.58 341.19
4 21.0 659.31 1232.88
5 21.0 887.36 476.61
6 21.0 148.86 347.94
7 21.0 278.83 354.78
8 21.0 343.7 431.21
9 21.0 425.0 781.1
10 21.0 428.21 987.55
11 21.0 379.88 635.53
12 21.0 862.0 1327.16
13 21.0 242.93 330.61
14 21.0 465.53 578.42
15 21.0 676.56 531.84
16 21.0 972.89 560.61
17 21.0 545.84 1110.6
18 21.0 157.08 364.86
19 21.0 307.7 602.89
20 21.0 419.87 395.46
21 21.0 910.79 469.35
22 21.0 491.74 654.68
23 21.0 599.63 489.15
24 21.0 701.12 599.68
25 21.0 842.28 379.4
26 21.0 164.5 370.61
27 21.0 626.46 798.24
28 21.0 149.79 349.85
29 21.0 893.78 477.97
0 22.0 590.14 805.87
1 22.0 917.93 470.49
2 22.0 690.67 1269.45
3 22.0 144.36 338.68
4 22.0 655.2 1228.29
5 22.0 879.89 478.96
6 22.0 148.18 346.54
7 22.0 280.48 362.0
8 22.0 351.79 428.71
9 22.0 422.7 773.53
10 22.0 436.01 985.23
11 22.0 374.62 632.09
12 22.0 856.29 1320.52
13 22.0 240.89 331.9
14 22.0 467.56 584.96
15 22.0 678.5 538.06
16 22.0 970.72 553.28
17 22.0 550.52 1116.02
18 22.0 156.08 362.8
19 22.0 310.19 610.81
20 22.0 411.39 398.5
21 22.0 903.92 471.48
22 22.0 489.8 648.13
23 22.0 593.13 491.27
24 22.0 699.82 595.54
25 22.0 851.67 382.84
26 22.0 162.84 371.27
27 22.0 635.47 795.52
28 22.0 149.0 348.23
29 22.0 902.14 475.38
0 23.0 582.69 808.12
1 23.0 924.69 468.45
2 23.0 685.21 1263.05
3 23.0 143.33 336.56
4 23.0 651.07 1223.69
5 23.0 872.13 481.39
6 23.0 147.16 344.45
7 23.0 283.34 368.69
8 23.0 360.91 426.06
9 23.0 420.25 765.4
10 23.0 443.9 982.88
11 23.0 366.54 633.66
12 23.0 850.2 1313.44
13 23.0 238.83 333.16
14 23.0 469.8 592.21
15 23.0 680.51 544.47
16 23.0 968.76 546.71
17 23.0 555.55 1121.85
18 23.0 155.09 360.75
19 23.0 312.61 618.51
20 23.0 401.22 401.62
21 23.0 896.9 473.65
22 23.0 487.96 641.97
23 23.0 586.63 493.24
24 23.0 697.86 589.25
25 23.0 860.27 385.14
26 23.0 161.03 371.16
27 23.0 643.35 793.15
28 23.0 148.25 346.68
